Record Number,Listing ID,Property URL,Property Title,Listing Title,Property Type,Configuration,Bedrooms,Bathrooms,Price,Price Range (4 BHK),Price Range (5 BHK),Area,Area Type,Locality,City,Zone,Address,Postal Code,Project Name,Builder / Owner,Seller Type,Brokerage Type,Construction Status,RERA Status,Listing Age,Floor,Total Floors,Parking,Facing,Furnishing,Price / Sqft,Amenities,Special Features,Description,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Images URL,Source Search URL,Source Page URL,Source Row,Estimated Market Price 2016 (₹),Estimated Market Price 2017 (₹),Estimated Market Price 2018 (₹),Estimated Market Price 2019 (₹),Estimated Market Price 2020 (₹),Estimated Market Price 2021 (₹),Estimated Market Price 2022 (₹),Estimated Market Price 2023 (₹),Estimated Market Price 2024 (₹),Estimated Market Price 2025 (₹)
26,1786023688-26,N/A,Puravankara Central Plaza,"2 BHK Flat in Hebbal, Bangalore",2 BHK Flat,2 BHK,2,2,₹88.7 Lac,N/A,N/A,1052 sqft,Carpet Area,Hebbal,Bangalore,East,"Hebbal, Bangalore",400026,Puravankara Central Plaza,Puravankara,Verified Partner,Zero Brokerage,Under Construction,Yes,3d ago,9,13,1 Covered,East,Fully-Furnished,₹8432 /sqft,"Garden, Power Backup, Security, Gymnasium, Elevator, Tennis Court, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Hebbal, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,26,5322000,5765500,6209000,6652500,7096000,7539500,7983000,8426500,8692600,8870000
27,1786023688-27,N/A,Rustomjee Valley Terraces,"3 BHK Flat in Yelahanka, Bangalore",3 BHK Flat,3 BHK,3,3,₹132.2 Lac,N/A,N/A,1600 sqft,Carpet Area,Yelahanka,Bangalore,South,"Yelahanka, Bangalore",400027,Rustomjee Valley Terraces,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,10,14,1 Covered,North-East,Semi-Furnished,₹8262 /sqft,"Jogging Track, Parking, Garden, Tennis Court, Security","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Yelahanka, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,27,7932000,8593000,9254000,9915000,10576000,11237000,11898000,12559000,12955600,13220000
28,1786023688-28,N/A,Tata Housing Heights Residences,"4 BHK Flat in Sarjapur Road, Bangalore",4 BHK Flat,4 BHK,4,4,₹156.7 Lac,N/A,N/A,1914 sqft,Carpet Area,Sarjapur Road,Bangalore,West,"Sarjapur Road, Bangalore",400028,Tata Housing Heights Residences,Tata Housing,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,11,15,1 Covered,West,Semi-Furnished,₹8187 /sqft,"Swimming Pool, Elevator, Security, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Sarjapur Road, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,28,9402000,10185500,10969000,11752500,12536000,13319500,14103000,14886500,15356600,15670000
29,1786023688-29,N/A,Mahindra Lifespaces Palms Greens,"5 BHK Flat in Bellandur, Bangalore",5 BHK Villa,5 BHK,5,4,₹224.5 Lac,N/A,N/A,2307 sqft,Carpet Area,Bellandur,Bangalore,North,"Bellandur, Bangalore",400029,Mahindra Lifespaces Palms Greens,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,12,16,1 Covered,West,Semi-Furnished,₹9731 /sqft,"Jogging Track, Security, Tennis Court, Power Backup, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Bellandur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,29,13470000,14592500,15715000,16837500,17960000,19082500,20205000,21327500,22001000,22450000
30,1786023688-30,N/A,Casagrand Vista Estate,"1 BHK Flat in Thanisandra, Bangalore",1 BHK Flat,1 BHK,1,1,₹42.5 Lac,N/A,N/A,502 sqft,Carpet Area,Thanisandra,Bangalore,East,"Thanisandra, Bangalore",400030,Casagrand Vista Estate,Casagrand,Verified Partner,Zero Brokerage,Ready To Move,Yes,7d ago,13,17,1 Covered,East,Fully-Furnished,₹8466 /sqft,"Tennis Court, Parking, Clubhouse, Gymnasium, Power Backup, Jogging Track, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Thanisandra, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,30,2550000,2762500,2975000,3187500,3400000,3612500,3825000,4037500,4165000,4250000
31,1786023688-31,N/A,Kolte-Patil Avenue Heights,"2 BHK Flat in Marathahalli, Bangalore",2 BHK Flat,2 BHK,2,2,₹102.1 Lac,N/A,N/A,1016 sqft,Built-up Area,Marathahalli,Bangalore,South,"Marathahalli, Bangalore",400031,Kolte-Patil Avenue Heights,Kolte-Patil,Verified Partner,Zero Brokerage,Ready To Move,Yes,8d ago,14,18,1 Covered,West,Semi-Furnished,₹10049 /sqft,"Power Backup, Garden, Elevator, Swimming Pool, Tennis Court, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Marathahalli, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,31,6126000,6636500,7147000,7657500,8168000,8678500,9189000,9699500,10005800,10210000
32,1786023688-32,N/A,Piramal Realty Oasis Villas,"3 BHK Flat in Jayanagar, Bangalore",3 BHK Flat,3 BHK,3,3,₹125.9 Lac,N/A,N/A,1466 sqft,Carpet Area,Jayanagar,Bangalore,West,"Jayanagar, Bangalore",400032,Piramal Realty Oasis Villas,Piramal Realty,Verified Partner,Zero Brokerage,Under Construction,Yes,9d ago,15,19,1 Covered,East,Fully-Furnished,₹8588 /sqft,"Elevator, Garden, Clubhouse, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Jayanagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,32,7554000,8183500,8813000,9442500,10072000,10701500,11331000,11960500,12338200,12590000
33,1786023688-33,N/A,Prestige Group Solitaire Towers,"4 BHK Flat in Rajajinagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹154.5 Lac,N/A,N/A,2019 sqft,Plot Area,Rajajinagar,Bangalore,Central,"Rajajinagar, Bangalore",400033,Prestige Group Solitaire Towers,Prestige Group,Verified Partner,Zero Brokerage,Under Construction,Yes,10d ago,16,20,1 Covered,East,Unfurnished,₹7652 /sqft,"Parking, Jogging Track, Swimming Pool, Gymnasium","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Rajajinagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,33,9270000,10042500,10815000,11587500,12360000,13132500,13905000,14677500,15141000,15450000
34,1786023688-34,N/A,DLF Limited Signature Park,"5 BHK Flat in Banashankari, Bangalore",5 BHK Villa,5 BHK,5,4,₹210.5 Lac,N/A,N/A,2429 sqft,Built-up Area,Banashankari,Bangalore,South,"Banashankari, Bangalore",400034,DLF Limited Signature Park,DLF Limited,Verified Partner,Zero Brokerage,Under Construction,Yes,11d ago,17,21,1 Covered,North-East,Unfurnished,₹8666 /sqft,"Tennis Court, Security, Swimming Pool, Power Backup, Garden","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in Banashankari, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,34,12630000,13682500,14735000,15787500,16840000,17892500,18945000,19997500,20629000,21050000
35,1786023688-35,N/A,Godrej Properties Crown Court,"1 BHK Flat in Malleshwaram, Bangalore",1 BHK Flat,1 BHK,1,1,₹52.8 Lac,N/A,N/A,613 sqft,Super Built-up Area,Malleshwaram,Bangalore,West,"Malleshwaram, Bangalore",400035,Godrej Properties Crown Court,Godrej Properties,Verified Partner,Zero Brokerage,Under Construction,Yes,12d ago,18,22,1 Covered,East,Semi-Furnished,₹8613 /sqft,"Garden, Security, Gymnasium, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Malleshwaram, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,35,3168000,3432000,3696000,3960000,4224000,4488000,4752000,5016000,5174400,5280000
36,1786023688-36,N/A,Sobha Limited Royal Gardens,"2 BHK Flat in Kaggadasapura, Bangalore",2 BHK Flat,2 BHK,2,2,₹72.2 Lac,N/A,N/A,999 sqft,Built-up Area,Kaggadasapura,Bangalore,West,"Kaggadasapura, Bangalore",400036,Sobha Limited Royal Gardens,Sobha Limited,Verified Partner,Zero Brokerage,Ready To Move,Yes,1d ago,1,5,1 Covered,North,Fully-Furnished,₹7227 /sqft,"Swimming Pool, Security, Elevator, Parking, Tennis Court, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Kaggadasapura, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1580587771525-78b9dba3b914?auto=format&fit=crop&w=800&q=80,N/A,N/A,36,4332000,4693000,5054000,5415000,5776000,6137000,6498000,6859000,7075600,7220000
37,1786023688-37,N/A,Oberoi Realty Grand Haven,"3 BHK Flat in BTM Layout, Bangalore",3 BHK Flat,3 BHK,3,3,₹149.2 Lac,N/A,N/A,1551 sqft,Carpet Area,BTM Layout,Bangalore,South,"BTM Layout, Bangalore",400037,Oberoi Realty Grand Haven,Oberoi Realty,Verified Partner,Zero Brokerage,Ready To Move,Yes,2d ago,2,6,1 Covered,North-East,Fully-Furnished,₹9620 /sqft,"Clubhouse, Gymnasium, Elevator, Garden, Power Backup, Jogging Track, Parking","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in BTM Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1570129477492-45c003edd2be?auto=format&fit=crop&w=800&q=80,N/A,N/A,37,8952000,9698000,10444000,11190000,11936000,12682000,13428000,14174000,14621600,14920000
38,1786023688-38,N/A,Hiranandani Group Emerald Enclave,"4 BHK Flat in JP Nagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹154.3 Lac,N/A,N/A,2069 sqft,Carpet Area,JP Nagar,Bangalore,East,"JP Nagar, Bangalore",400038,Hiranandani Group Emerald Enclave,Hiranandani Group,Verified Partner,Zero Brokerage,Ready To Move,Yes,3d ago,3,7,1 Covered,North,Unfurnished,₹7458 /sqft,"Garden, Tennis Court, Security, Parking, Swimming Pool, Jogging Track, Power Backup","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in JP Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1564013799919-ab600027ffc6?auto=format&fit=crop&w=800&q=80,N/A,N/A,38,9258000,10029500,10801000,11572500,12344000,13115500,13887000,14658500,15121400,15430000
39,1786023688-39,N/A,Lodha Group Serene Square,"5 BHK Flat in C V Raman Nagar, Bangalore",5 BHK Villa,5 BHK,5,4,₹209.6 Lac,N/A,N/A,2499 sqft,Super Built-up Area,C V Raman Nagar,Bangalore,North,"C V Raman Nagar, Bangalore",400039,Lodha Group Serene Square,Lodha Group,Verified Partner,Zero Brokerage,Under Construction,Yes,4d ago,4,8,1 Covered,East,Unfurnished,₹8387 /sqft,"Gymnasium, Parking, Clubhouse, Tennis Court","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in C V Raman Nagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?auto=format&fit=crop&w=800&q=80,N/A,N/A,39,12576000,13624000,14672000,15720000,16768000,17816000,18864000,19912000,20540800,20960000
40,1786023688-40,N/A,Aparna Constructions Skyline Plaza,"1 BHK Flat in Varthur, Bangalore",1 BHK Flat,1 BHK,1,1,₹43.9 Lac,N/A,N/A,524 sqft,Carpet Area,Varthur,Bangalore,West,"Varthur, Bangalore",400040,Aparna Constructions Skyline Plaza,Aparna Constructions,Verified Partner,Zero Brokerage,Under Construction,Yes,5d ago,5,9,1 Covered,North,Fully-Furnished,₹8378 /sqft,"Parking, Power Backup, Tennis Court, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Varthur, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&w=800&q=80,N/A,N/A,40,2634000,2853500,3073000,3292500,3512000,3731500,3951000,4170500,4302200,4390000
41,1786023688-41,N/A,Brigade Group Imperia Terraces,"2 BHK Flat in Whitefield, Bangalore",2 BHK Flat,2 BHK,2,2,₹87.4 Lac,N/A,N/A,1021 sqft,Carpet Area,Whitefield,Bangalore,Central,"Whitefield, Bangalore",400041,Brigade Group Imperia Terraces,Brigade Group,Verified Partner,Zero Brokerage,Under Construction,Yes,6d ago,6,10,1 Covered,West,Semi-Furnished,₹8560 /sqft,"Elevator, Tennis Court, Gymnasium, Clubhouse","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 2 BHK residence located in Whitefield, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1512917774080-9991f1c4c750?auto=format&fit=crop&w=800&q=80,N/A,N/A,41,5244000,5681000,6118000,6555000,6992000,7429000,7866000,8303000,8565200,8740000
42,1786023688-42,N/A,Puravankara Elegance Residences,"3 BHK Flat in Koramangala, Bangalore",3 BHK Flat,3 BHK,3,3,₹154.5 Lac,N/A,N/A,1625 sqft,Plot Area,Koramangala,Bangalore,West,"Koramangala, Bangalore",400042,Puravankara Elegance Residences,Puravankara,Verified Partner,Zero Brokerage,Under Construction,Yes,7d ago,7,11,1 Covered,East,Unfurnished,₹9508 /sqft,"Jogging Track, Elevator, Security, Power Backup, Swimming Pool","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 3 BHK residence located in Koramangala, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600596542815-ffad4c1539a9?auto=format&fit=crop&w=800&q=80,N/A,N/A,42,9270000,10042500,10815000,11587500,12360000,13132500,13905000,14677500,15141000,15450000
43,1786023688-43,N/A,Rustomjee Urban Greens,"4 BHK Flat in Indiranagar, Bangalore",4 BHK Flat,4 BHK,4,4,₹176.9 Lac,N/A,N/A,2067 sqft,Super Built-up Area,Indiranagar,Bangalore,East,"Indiranagar, Bangalore",400043,Rustomjee Urban Greens,Rustomjee,Verified Partner,Zero Brokerage,Under Construction,Yes,8d ago,8,12,1 Covered,North-East,Unfurnished,₹8558 /sqft,"Swimming Pool, Clubhouse, Garden, Parking, Power Backup, Security, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 4 BHK residence located in Indiranagar, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&w=800&q=80,N/A,N/A,43,10614000,11498500,12383000,13267500,14152000,15036500,15921000,16805500,17336200,17690000
44,1786023688-44,N/A,Tata Housing Central Estate,"5 BHK Flat in HSR Layout, Bangalore",5 BHK Villa,5 BHK,5,4,₹216.3 Lac,N/A,N/A,2356 sqft,Built-up Area,HSR Layout,Bangalore,South,"HSR Layout, Bangalore",400044,Tata Housing Central Estate,Tata Housing,Verified Partner,Zero Brokerage,Ready To Move,Yes,9d ago,9,13,1 Covered,North-East,Unfurnished,₹9181 /sqft,"Elevator, Security, Power Backup, Jogging Track","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 5 BHK residence located in HSR Layout, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?auto=format&fit=crop&w=800&q=80,N/A,N/A,44,12978000,14059500,15141000,16222500,17304000,18385500,19467000,20548500,21197400,21630000
45,1786023688-45,N/A,Mahindra Lifespaces Valley Heights,"1 BHK Flat in Electronic City, Bangalore",1 BHK Flat,1 BHK,1,1,₹59 Lac,N/A,N/A,670 sqft,Carpet Area,Electronic City,Bangalore,West,"Electronic City, Bangalore",400045,Mahindra Lifespaces Valley Heights,Mahindra Lifespaces,Verified Partner,Zero Brokerage,Ready To Move,Yes,10d ago,10,14,1 Covered,North-East,Unfurnished,₹8806 /sqft,"Garden, Clubhouse, Power Backup, Gymnasium, Security, Jogging Track, Elevator","Modular Kitchen, High Speed Elevators, Vastu Compliant","Spacious and elegantly designed 1 BHK residence located in Electronic City, Bangalore. Features modern amenities, superb connectivity to IT hubs and commercial centers, and excelente capital appreciation potential.",https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,N/A,https://images.unsplash.com/photo-1600566753376-12c8ab7fb75b?auto=format&fit=crop&w=800&q=80,N/A,N/A,45,3540000,3835000,4130000,4425000,4720000,5015000,5310000,5605000,5782000,5900000
